1002;PLATEAU A THE INOX 18/10;;18.99;22.52;U
1003;PLATEAU A CAKE A/A ANNEAU INOX;;44.17;53.04;U
1004;PLATEAU RECTANGULAIRE 28/16 INOX;;23.81;33.05;U
1001;PLAT ROND 35 CM  DESIGN INOX 18/10;;52.90;65.56;U
1006;PLATEAU RECT 30 CM ANNEAU INOX 18/10;;46.17;55.62;U
1007;PLATEAU RECT 35 CM ANNEAU INOX 18/10;;54.18;66.64;U
1008;PLATEAU RECT 40 CM ANNEAU INOX 18/10;;77.25;86.40;U
1009;PLATEAU RECT 30 CM AA INOX 18/10;;34.22;45.10;U
1010;PLATEAU RECT 35 CM AA INOX 18/10;;41.28;54.75;U
1011;PLATEAU RECT 40 CM AA INOX 18/10;;60.02;73.02;U
1012;LOT DE 2 PLATEAUX RECT 30 CM + 35 CM INOX 18/10;;75.51;98.16;U
1013;LOT DE 2 PLATEAUX RECT 30/35 CM ANNEAU INOX 18/10;;84.30;109.60;U
1014;PLATEAU OCTOGONAL 35 CM INOX 18/10;;44.25;57.56;U
1015;COUPE A GLACE INOX 18/10;;4.32;5.62;U
1016;PLATEAU 30 CM + 6 COUPE A GLACE INOX 18/10;;54.61;70.99;U
1017;PORTE SERVIETTE INOX 18/10;;7.47;8.10;U
1018;PLAT OVAL POISSON 45 CM INOX  18/10;;26.79;38.48;U
1019;PLAT OVAL POISSON 60 CM INOX 18/10;;44.30;57.24;U
1020;PLAT OVAL POISSON 70 CM INOX 18/10;;64.31;79.06;U
1021;SERVICE T/T 5 PIECES;;61.16;81.00;U
1022;CLOCHE PLATEAU 21/21;;13.50;22.95;U
1023;CLOCHE  PLATEAU A CAKE;;14.00;23.10;U
1024;CLOCHE PLATEAU A THE;;10.00;17.50;U
1025;CLOCHE PLATEAU 28/16;;14.50;21.75;U
1026;CLOCHE PLATEAU OCTOGONAL;;23.00;29.90;U
1027;PORTE MENU EN BOIS 32*24;;44.66;125.88;U
1028;PLATEAU A CAKE 40CM INOX 18/10 S/A;;34.30;51.44;U
1029;STAND 3 NIVEAUX INOX POLI 242*218*H 555 mm;;234.43;351.64;U
1030;MEDIUM INOX POLI DIAMETRE  218 * H 180 mm;;0.00;0.00;U
1031;LOW INOX POLI DIAMETRE 218 * H 95 mm;;0.00;0.00;U
1032;LOW INOX POLI 530 * 165 * H 95 mm;;0.00;0.00;U
1033;TALL INOX POLI 530 * 165 * H 185 mm;;0.00;0.00;U
1034;STAND INOX POLI 315 * 260 * H 180 H 95 mm;;0.00;0.00;U
1035;STAND INOX POLI 325 * 265 * H 100 mm;;0.00;0.00;U
1036;STAND INOX POLI  315 * 265 * H 95 mm;;0.00;0.00;U
1037;STAND 3 NIVEAUX NOIR   242*218*H 555 mm;;154.70;195.00;U
1038;STAND LOW NOIR  DIAMETRE 218 * H 95 mm;;0.00;0.00;U
1039;MEDIUM INOX POLI DIAMETRE  218 * H 180 mm;;0.00;0.00;U
1040;STAND MEDIUM NOIR  DIAMETRE  218 * H 180 mm;;0.00;0.00;U
1041;STAND TALL NOIR DIAMETRE 218 * 265;;0.00;0.00;U
1042;STAND NOIR 315 * 260 * H 180 H 95;;0.00;0.00;U
1043;STAND NOIR 325 * 265 * H 100 mm;;0.00;0.00;U
1044;STAND NOIR  315 * 265 * H 95 mm;;0.00;0.00;U
1045;VERRE COGNAC 25CL;;1.87;4.27;U
1046;SEAU A GLACONS A/ANSE PM;;7.44;15.21;U
1047;VAP MONTECARLO 45CL;;5.60;7.85;U
1048;VAP DEGUS 58CL;;4.42;6.66;U
1049;VAP FLUT 17CL;;2.25;3.99;U
1050;VERRE SCHOOTER 6CL;;1.35;1.96;U
1051;VERRE AIALA LONG DRING 31CL;;1.80;2.86;U
1052;VERRE A EAU LAVE 36CL;;1.92;3.33;U
1053;VERRE TUBE LON DRING 30CL;;1.85;2.86;U
1054;VAP MALVALAISE 53CL;;3.19;6.33;U
1055;VAP BORMIOLI 47CL;;3.75;6.66;U
1056;VERRE A THE BESFORE LONG CHAMP;;1.10;1.76;U
1057;VERRE IRATIA WISKY;;1.80;3.33;U
1058;PORTE MENU EN BOIS ( BOIS CHAINE + PLAQUES INOX +GRAVURE );;59.12;150.87;U
1059;VAP WILKO 53CL;;3.44;6.33;U
1060;VAP ADARA 53CL;;3.15;6.33;U
1061;PLATEAU RECT 30 CM S/A  D T;;36.30;51.83;U
